id;name;service_url;start_date;end_date;description;created_on;created_by;updated_on;updated_by;status;comments;tax_service_id
1;Product Unbranded Quality;Belize;2021-11-25;2021-11-25;Dinar Usability;2021-11-25T15:23:11;Park Organized monitor;2021-11-24T18:33:21;Licensed olive;Valley EXE Keyboard;magnetic;48429
2;override Pants deposit;Trace;2021-11-25;2021-11-25;Administrator District;2021-11-25T17:24:43;District UIC-Franc plum;2021-11-25T07:28:47;parse Grass-roots;Implementation;Auto;66349
3;Codes e-business neural;Loan;2021-11-24;2021-11-24;Response;2021-11-25T09:58:24;Palladium one-to-one;2021-11-25T03:55:32;HTTP;success;quantifying;88079
4;District services;Account Dollar sky;2021-11-25;2021-11-25;payment Generic Lead;2021-11-25T10:28:52;Sleek Springs turquoise;2021-11-25T18:15:03;Granite Product Public-key;end-to-end;Personal;78798
5;transitional Open-architected;transmitting 24/365 Liberia;2021-11-24;2021-11-24;bi-directional Kids deposit;2021-11-25T13:06:12;mesh;2021-11-25T08:55:01;driver;Liaison Intuitive;Organic uniform Krone;35341
6;Georgia;pink synergistic;2021-11-25;2021-11-24;Incredible Factors;2021-11-24T21:46:19;lavender Stand-alone;2021-11-25T00:48:21;Borders turn-key ADP;virtual Table;Chair;93151
7;calculating Music;task-force Utah;2021-11-24;2021-11-25;SMS Towels Small;2021-11-25T02:27:46;analyzing Account;2021-11-25T07:14:43;Dollar McDonald application;Refined compress Infrastructure;Dollar Directives driver;63777
8;port;lime Product;2021-11-25;2021-11-25;monitor Wyoming;2021-11-24T21:37:30;bandwidth navigating;2021-11-25T11:43:22;program auxiliary Coordinator;Creative;CSS Jewelery payment;79939
9;paradigms Somali Trail;solid;2021-11-25;2021-11-25;clicks-and-mortar;2021-11-25T18:18:34;invoice algorithm;2021-11-24T23:37:16;architectures Fantastic;SSL blue Texas;Account;18918
10;SDD Analyst protocol;Infrastructure mobile Rubber;2021-11-25;2021-11-25;Dakota Bedfordshire Savings;2021-11-24T21:43:02;uniform Security Technician;2021-11-25T08:50:39;Account;repurpose Incredible SDD;withdrawal Industrial;11598
